iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
43,25.859707832336426,230.78125600069652,93.30803355058896,197.9
44,11.143095254898071,230.78125600069652,99.44523268489915,207.3
45,15.01771354675293,230.78125600069652,99.59309485275402,205.9
46,18.42925500869751,230.78125600069652,93.38265298540213,195.9
47,19.785587787628174,230.78125600069652,94.2789214245787,198.5
48,17.35970687866211,230.78125600069652,93.53375626526955,197.4
49,16.740743160247803,230.78125600069652,94.73483530635528,199.6
50,12.930579423904419,230.78125600069652,98.80588111589125,205.9
51,36.027358531951904,230.78125600069652,94.29671519707556,196.2
52,136.9704933166504,230.78125600069652,91.51458624853214,191.9
53,291.33312606811523,230.78125600069652,96.30308009563296,202.9
54,180.6672306060791,230.78125600069652,96.56318665650342,203.3
55,59.01246738433838,230.78125600069652,96.45341562591025,203.3
56,57.478973388671875,230.78125600069652,95.21541203611245,200.4
57,47.32385730743408,230.78125600069652,93.13351634553214,196.2
58,26.0152645111084,230.78125600069652,92.782759648513,198.1
59,31.466073513031006,230.78125600069652,93.31718408345942,198.8
60,30.0658278465271,230.78125600069652,96.82951637944427,203.6
61,15.696949481964111,230.78125600069652,98.09874417102168,205.1
62,30.5884108543396,244.37627327652444,112.06846160546552,227.0
63,48.43399238586426,297.2383109618726,146.46347709014685,285.2
64,31.309738159179688,297.2383109618726,165.7573723419592,314.4
65,16.765369176864624,297.2383109618726,145.11961297070806,274.1
66,25.341169357299805,297.2383109618726,140.9492360438584,267.7
67,13.41102147102356,297.2383109618726,157.8824710535494,300.4
68,18.18053388595581,331.6380194203027,177.52986793057715,341.4
69,18.3044114112854,331.6380194203027,182.5407310410156,348.2
70,26.919373989105225,331.6380194203027,170.93389289161885,322.7
71,19.19621467590332,331.6380194203027,151.09810546758368,281.5
72,28.157408237457275,331.6380194203027,131.4057828243752,240.4
73,11780.198608398438,479.28474769375634,169.34489596982672,324.2
74,53.40438652038574,479.28474769375634,138.1867461168926,273.2
75,31.31144380569458,479.28474769375634,99.72697504890758,193.0
76,26.88203716278076,479.28474769375634,103.85115081933657,201.2
77,14.665184736251831,479.28474769375634,98.72143186912392,192.4
78,16.87688159942627,479.28474769375634,101.07879019911665,205.1
79,18.165143489837646,479.28474769375634,108.84112326940127,222.0
80,22.486039638519287,479.28474769375634,114.34217936044078,235.0
81,13.814585208892822,479.28474769375634,104.3483914178789,214.4
82,34.19422006607056,479.28474769375634,97.73820227733052,195.8
83,70.60214805603027,479.28474769375634,98.65266967224056,194.5
84,28.969011306762695,479.28474769375634,101.64343437805398,203.1
85,131.61241340637207,479.28474769375634,114.76286438249922,232.2
86,13.889959573745728,479.28474769375634,118.05532419953006,238.8
87,9.764864444732666,479.28474769375634,103.11153591823638,206.1
88,15.700477361679077,479.28474769375634,100.7998360935658,202.9
89,15.54815411567688,479.28474769375634,99.17785515938347,208.1
90,16.417337894439697,479.28474769375634,94.06224328391471,197.6
91,19.36094880104065,479.28474769375634,111.96914340502853,223.2
92,25.432769775390625,479.28474769375634,153.87944443231183,288.1
93,26.852757930755615,479.28474769375634,180.38403227078913,328.3
94,112.20558738708496,479.28474769375634,220.208798149154,402.9
95,42.829402923583984,479.28474769375634,186.7582296974354,353.5
96,36.641297340393066,479.28474769375634,178.0961130517006,345.1
97,49.44834899902344,479.28474769375634,135.87048811620465,267.0
98,42.9503288269043,479.28474769375634,108.88815787768416,222.2
99,21.82773780822754,479.28474769375634,98.26866331320113,209.9
100,17.304504871368408,479.28474769375634,105.84277455968729,219.8
101,11.1069655418396,479.28474769375634,134.15892236748036,269.9
